Time,,Time,BETR.,time,Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],new_col,date,Year,multiplier,spread,PnL,Cum_PnL
2021-01-04,355,2021-01-04 17:00:00+01:00,767.659,2021-01-04 16:45:00,61.99,80.73,70.5,133.03,6,2021-01-04,2021,0,52.3,0.0,788.790000000001
2021-01-04,356,2021-01-04 17:15:00+01:00,469.127,2021-01-04 17:00:00,66.82,63.54,73.1,103.66,7,2021-01-04,2021,0,40.12,0.0,788.790000000001
2021-01-04,357,2021-01-04 17:30:00+01:00,264.507,2021-01-04 17:15:00,66.82,75.03,73.1,103.37,8,2021-01-04,2021,0,28.340000000000003,0.0,788.790000000001
2021-01-04,358,2021-01-04 17:45:00+01:00,16.143,2021-01-04 17:30:00,66.82,76.81,73.1,124.71,9,2021-01-04,2021,0,47.89999999999999,0.0,788.790000000001
2021-01-04,359,2021-01-04 18:00:00+01:00,-381.35,2021-01-04 17:45:00,66.82,78.42,73.1,36.23,10,2021-01-04,2021,0,-42.190000000000005,-0.0,788.790000000001
2021-01-04,360,2021-01-04 18:15:00+01:00,52.095,2021-01-04 18:00:00,61.97,86.82,75.59,108.04,11,2021-01-04,2021,-1,21.220000000000013,-21.220000000000013,767.570000000001
2021-01-04,361,2021-01-04 18:30:00+01:00,108.844,2021-01-04 18:15:00,61.97,77.29,75.59,111.45,12,2021-01-04,2021,-1,34.16,-34.16,733.410000000001
2021-01-04,362,2021-01-04 18:45:00+01:00,72.555,2021-01-04 18:30:00,61.97,77.59,75.59,90.94,13,2021-01-04,2021,-1,13.349999999999994,-13.349999999999994,720.060000000001
2021-01-04,363,2021-01-04 19:00:00+01:00,-174.505,2021-01-04 18:45:00,61.97,69.24,75.59,33.48,14,2021-01-04,2021,-1,-35.76,35.76,755.820000000001
2021-01-04,364,2021-01-04 19:15:00+01:00,6.551,2021-01-04 19:00:00,55.06,71.79,70.82,149.62,15,2021-01-04,2021,-1,77.83,-77.83,677.9900000000009
2021-01-04,365,2021-01-04 19:30:00+01:00,132.59,2021-01-04 19:15:00,55.06,73.19,70.82,99.6,16,2021-01-04,2021,-1,26.409999999999997,-26.409999999999997,651.580000000001
2021-01-04,366,2021-01-04 19:45:00+01:00,331.189,2021-01-04 19:30:00,55.06,65.6,70.82,84.46,17,2021-01-04,2021,-1,18.86,-18.86,632.7200000000009
2021-01-04,367,2021-01-04 20:00:00+01:00,303.428,2021-01-04 19:45:00,55.06,59.69,70.82,74.34,18,2021-01-04,2021,-1,14.650000000000006,-14.650000000000006,618.070000000001
2021-01-04,368,2021-01-04 20:15:00+01:00,356.508,2021-01-04 20:00:00,47.34,80.43,62.78,106.87,19,2021-01-04,2021,0,26.439999999999998,0.0,618.070000000001
2021-01-04,369,2021-01-04 20:30:00+01:00,359.136,2021-01-04 20:15:00,47.34,76.54,62.78,99.77,20,2021-01-04,2021,0,23.22999999999999,0.0,618.070000000001
2021-01-04,370,2021-01-04 20:45:00+01:00,294.926,2021-01-04 20:30:00,47.34,56.52,62.78,80.47,21,2021-01-04,2021,-1,23.949999999999996,-23.949999999999996,594.1200000000009
2021-01-04,371,2021-01-04 21:00:00+01:00,325.146,2021-01-04 20:45:00,47.34,47.51,62.78,62.76,22,2021-01-04,2021,-1,15.25,-15.25,578.8700000000009
2021-01-04,372,2021-01-04 21:15:00+01:00,-5.094,2021-01-04 21:00:00,45.64,68.81,54.84,-49.9,23,2021-01-04,2021,-1,-118.71000000000001,118.71000000000001,697.580000000001
2021-01-04,373,2021-01-04 21:30:00+01:00,166.693,2021-01-04 21:15:00,45.64,58.99,54.84,90.96,24,2021-01-04,2021,-1,31.96999999999999,-31.96999999999999,665.6100000000009
2021-01-04,374,2021-01-04 21:45:00+01:00,57.738,2021-01-04 21:30:00,45.64,49.65,54.84,114.71,25,2021-01-04,2021,-1,65.06,-65.06,600.5500000000009
2021-01-04,375,2021-01-04 22:00:00+01:00,-43.21,2021-01-04 21:45:00,45.64,44.81,54.84,10.4,26,2021-01-04,2021,-1,-34.410000000000004,34.410000000000004,634.9600000000008
2021-01-04,376,2021-01-04 22:15:00+01:00,773.757,2021-01-04 22:00:00,48.93,68.14,56.7,742.75,27,2021-01-04,2021,-1,674.61,-674.61,-39.64999999999918
2021-01-04,377,2021-01-04 22:30:00+01:00,916.5,2021-01-04 22:15:00,48.93,68.21,56.7,603.38,28,2021-01-04,2021,-1,535.17,-535.17,-574.8199999999991
2021-01-04,378,2021-01-04 22:45:00+01:00,555.138,2021-01-04 22:30:00,48.93,58.59,56.7,118.08,29,2021-01-04,2021,-1,59.489999999999995,-59.489999999999995,-634.3099999999991
2021-01-04,379,2021-01-04 23:00:00+01:00,300.863,2021-01-04 22:45:00,48.93,51.46,56.7,99.21,30,2021-01-04,2021,-1,47.74999999999999,-47.74999999999999,-682.0599999999991
2021-01-04,380,2021-01-04 23:15:00+01:00,-86.118,2021-01-04 23:00:00,44.64,59.9,53.26,37.22,31,2021-01-04,2021,-1,-22.68,22.68,-659.3799999999992
2021-01-04,381,2021-01-04 23:30:00+01:00,-120.979,2021-01-04 23:15:00,44.64,60.6,53.26,41.48,32,2021-01-04,2021,-1,-19.120000000000005,19.120000000000005,-640.2599999999992
2021-01-04,382,2021-01-04 23:45:00+01:00,32.833,2021-01-04 23:30:00,44.64,47.09,53.26,114.71,33,2021-01-04,2021,-1,67.61999999999999,-67.61999999999999,-707.8799999999992
2021-01-04,383,2021-01-04 00:00:00+01:00,470.176,2021-01-04 23:45:00,44.64,42.12,53.26,63.5,34,2021-01-04,2021,-1,21.380000000000003,-21.380000000000003,-729.2599999999992
2021-01-05,446,2021-01-05 15:45:00+01:00,500.947,2021-01-05 15:30:00,64.05,73.69,71.59,98.13,1,2021-01-05,2021,0,24.439999999999998,0.0,-729.2599999999992
2021-01-05,447,2021-01-05 16:00:00+01:00,-21.559,2021-01-05 15:45:00,64.05,72.32,71.59,-1.36,2,2021-01-05,2021,0,-73.67999999999999,-0.0,-729.2599999999992
2021-01-05,448,2021-01-05 16:15:00+01:00,386.584,2021-01-05 16:00:00,64.26,65.36,70.85,85.3,3,2021-01-05,2021,-1,19.939999999999998,-19.939999999999998,-749.1999999999991
2021-01-05,449,2021-01-05 16:30:00+01:00,511.2,2021-01-05 16:15:00,64.26,70.06,70.85,92.14,4,2021-01-05,2021,-1,22.08,-22.08,-771.2799999999992
2021-01-05,450,2021-01-05 16:45:00+01:00,431.477,2021-01-05 16:30:00,64.26,71.38,70.85,90.03,5,2021-01-05,2021,0,18.650000000000006,0.0,-771.2799999999992
